"","within"
"A_1",0.732107659737581
"A_2",0.477429424881691
"A_3",0.477881478654723
"A_4",0.508904415938747
"B_1",2.77325349706416
"B_2",2.12934640988598
"B_3",2.5304474618304
"B_4",0.88671312241195
"C_1",1.05011211820348
"C_2",0.431585209776111
"C_3",0.65674883956697
"C_4",1.01189018706388
"D_1",0.874360444944991
"D_2",0.680619634535368
"D_3",0.565093062021493
"D_4",0.503008193333121
"E_1",1.44707016965818
"E_2",0.851878074990917
"E_3",0.957137267232166
"E_4",1.08512499709327
"F_1",1.11477394800869
"F_2",1.01431570082085
"F_3",0.520166837149768
"F_4",0.695065358046769
"G_1",0.537389245771225
"G_2",0.513141336191038
"G_3",0.185816418426308
"G_4",0.375820736925103
"H_1",1.08366553512198
"H_2",0.908462935273253
"H_3",0.552242745639702
"H_4",0.706625389330998
"I_1",1.37736428951438
"I_2",1.28517907827291
"I_3",0.775636710006663
"I_4",0.693912790749178
"J_1",1.13756149673808
"J_2",0.949387208064704
"J_3",0.605783387301849
"J_4",0.71995239810961
"K_1",1.51265138045325
"K_2",1.06259156194234
"K_3",1.04977709282093
"K_4",0.912934106143237
"L_1",0.374599149003647
"L_2",0.200282564930462
"L_3",0.274300268844903
"L_4",0.274615464231928
"M_1",0.988615662282408
"M_2",0.583540452643326
"M_3",0.503208064809529
"M_4",0.890482807111962
"N_1",1.61055775144619
"N_2",1.41869501455513
"N_3",0.794157798989064
"N_4",1.00826268934819
"O_1",7.6339213322752
"O_2",5.02201402497554
"O_3",4.95313915069503
"O_4",5.29268948887984
"P_1",0.865611233066514
"P_2",0.794651381407914
"P_3",0.326204191046382
"P_4",0.610366893678732
"Q_1",1.04313674097027
"Q_2",0.672798391265149
"Q_3",0.517610305943253
"Q_4",0.895864784732144
"R_1",0.88799172383185
"R_2",0.548498391232737
"R_3",0.570806181161143
"R_4",0.65667887526982
"S_1",1.27279826162456
"S_2",0.860631976510255
"S_3",0.857216361859334
"S_4",0.827748184879526
"T_1",1.31908730904401
"T_2",1.17773677727399
"T_3",0.834807331436516
"T_4",0.625630509377512
"U_1",2.14304181040002
"U_2",1.85336581134046
"U_3",0.98860799016181
"U_4",1.44410981929777
